Puzzle,Clues,Category,Difficulty,Validated
.................4...589.......4....64.8....38..723...3.6..259..52...3....4.1.7..,24,0,0,
...............358479........4....8.3....9......2..6.5....6..9...158..4.83..4..2.,23,4,0,Valid
.............5..49.....91.5.3....8....89.2..4.694.......754...24....3...8.2....6.,24,4,0,Valid
.............581..8...6.324123..58..5..98.....9.3..4..3.4..7.56.7..1.9..986..3...,31,3,0,Valid
.............7..38...6...45.3.....972.8.5...44.68...1..41.6.....8.4....6..3598...,27,4,0,Valid
.............9..7.....87214.2...9..7.48...92....3.........73..6...6.2...3.6..58..,24,4,0,Valid
............26.5.335....1..1.......4..49.1.......2.6.5.715..3..9.2..8...6......89,25,4,0,Valid
............4..29.527....3.1....6.8.6....1..7.7...9.5...17......85.....2..43..9..,24,4,0,Valid
............729..89...8.24714.2986...573..9.4...4..31..96...4..4...1.7.3.1..4...9,33,2,0,Valid
...........635..7.592..8.......6.89..........7.9.3...6.8.796..24....19......8..5.,25,4,0,Valid
.........4.6.....8......15923........8.9.2.46.6.3..7..3..6...81...89......17.....,24,4,0,Valid
.........67....1..1....7.84..43.67...6..9..1...7..235...2.4.....8.9...4.94....52.,27,0,0,Valid
.........7241..35895..7..24...7.489.4......37.798....1..1.92.852.5.1.............,31,3,0,Valid
........7..84..2..7.6...1.51..35..9.........66.7..1..22.1....6..3..1....9........,23,4,0,Valid
........8.9.3...5..1....23..2.53..7..5.9.1.4.6...7....8....25..46...5.......8....,24,4,0,Valid
........85.817....2...6..911239..8..4....7.23.89.26...69..83.....5.916..81.6...49,35,1,0,Valid
........9...3.82.5..5...1...1.5....75....2....9.7...6.7....1..392....6....6..49..,24,4,0,Valid
........9..42.....7...8....2.6.53...3....2.1......926.....7.4..83......59.5...6..,23,4,0,Valid
........9..7.2..1...16.8.4..3....8.72...97...8..3...6276......84....1........3...,24,4,0,Valid
.......5.......2.9.352....7.13..67.854....3...9672.41.3.1.8.....6.91..8.9.45..62.,33,0,0,Valid
.......5......72.9.4.289...2...48..745.7.13...8..6.14..2.8..9..6.1..582.89.624..3,35,0,0,Valid
.......6......6..95.6.7..3.12...8......93...7..8.6...42.7.9.....3.5..8.......2...,23,4,0,Valid
.......6.....5.4...5..8..37.157.4...38...1.4....8...2..3.4.6.8..4....9.39...1....,26,4,0,Valid
.......6.3.9....45..714.9.84.25.67..53..9.4.27...123..621....9...59.16.3...6.4...,35,0,0,Valid
.......7.....46.....1...4353.....8..1..5.....5..4.7..6..89.13....2......4..6..5..,23,4,0,Valid
.......7...2..6......789.....34.........3...248.....613.5.978..7...4..5........26,24,4,0,Valid
.......7...78.125945.2.9...21.4.5...57.1.86.3.....31..63.5...84..1...56......2..1,33,0,0,Valid
.......7.1624..........512..145.68.7.5.....4...7248..34....7.3.5.......278.31....,30,3,0,Valid
.......78..4....5..65.791...1..3.9....78..5.2....26.13451...2....245......36..74.,31,3,0,Valid
.......79....124...5.4..1..123..5.9.....9...28..1.35.4.12.36..76.....9..9782...3.,32,0,0,Valid
......13.35.891......3.7...2....5...564..93...8..2.4.6.3....8.4.75...6..94.63.5..,31,0,0,Valid
......13.78.31..46..52467..213.....8..7..8.........457.518.2...8..97..2.97.......,32,0,0,Valid
......2.7.7..2.1.51243.78..21...4798.4..91...8..2..31.43.5.6....9......1..69.2..3,35,0,0,Valid
......3.9.68.....5...4.68.231.54....4.....2.3..7.6345..218.......3.9...8.8..1.7.6,31,0,0,Valid
......34.3.98.51....834..69.13.5.796...296..3.9.7...5.631..49.27..9........631...,36,0,0,Valid
......459451....7...2.5.1..2.31......8..7......93.4.8139.7.2...7..53..42..4.9.5.7,33,2,0,Valid
......5..4..6..1.32..13578.3.2....9..4..9...1..73.24.6.21.839..73.9......8.5...7.,33,0,0,Valid
......5..593.1...7....96.....4....56..8.62..36.....2.4.329...8....78......5......,25,4,0,Valid
......56....496.783.95....2..385.......2.1.....7..921.612.......4.9326..9.....7..,30,3,0,Valid
......5891....926..58........4.5..93.76.4...55.....6.1.2539.1..8..4.29.669.81....,34,2,0,Valid
